Type of crossover,Generation,Mean,Best 
Elitism Order Crossover,37,2.0,2.0
Elitism Cycle Crossover,37,2.0,2.0
Order Crossover,38,3.2,2.0
Cycle Crossover,38,4.0,4.0
Elitism Order Crossover,38,3.0,2.0
Elitism Cycle Crossover,38,2.0,2.0
Order Crossover,39,3.6,2.0
Cycle Crossover,39,4.0,4.0
Elitism Order Crossover,39,3.0,2.0
Elitism Cycle Crossover,39,2.0,2.0
Order Crossover,40,3.4,2.0
Cycle Crossover,40,4.0,4.0
Elitism Order Crossover,40,2.4,2.0
Elitism Cycle Crossover,40,2.0,2.0
Order Crossover,41,3.8,2.0
Cycle Crossover,41,4.0,4.0
Elitism Order Crossover,41,2.6,2.0
Elitism Cycle Crossover,41,2.0,2.0
Order Crossover,42,3.8,2.0
Cycle Crossover,42,4.0,4.0
Elitism Order Crossover,42,2.0,2.0
Elitism Cycle Crossover,42,2.0,2.0
Order Crossover,43,3.6,2.0
Cycle Crossover,43,4.0,4.0
Elitism Order Crossover,43,2.0,2.0
Elitism Cycle Crossover,43,2.0,2.0
Order Crossover,44,3.4,2.0
Cycle Crossover,44,4.0,4.0
Elitism Order Crossover,44,2.0,2.0
Elitism Cycle Crossover,44,2.0,2.0
Order Crossover,45,3.8,2.0
Cycle Crossover,45,4.0,4.0
Elitism Order Crossover,45,2.0,2.0
Elitism Cycle Crossover,45,2.0,2.0
Order Crossover,46,3.2,2.0
Cycle Crossover,46,4.0,4.0
Elitism Order Crossover,46,2.0,2.0
Elitism Cycle Crossover,46,2.0,2.0
Order Crossover,47,4.4,2.0
Cycle Crossover,47,4.0,4.0
Elitism Order Crossover,47,2.0,2.0
Elitism Cycle Crossover,47,2.0,2.0
Order Crossover,48,4.4,2.0
Cycle Crossover,48,4.0,4.0
Elitism Order Crossover,48,2.0,2.0
Elitism Cycle Crossover,48,2.0,2.0
Order Crossover,49,3.0,2.0
Cycle Crossover,49,4.0,4.0
Elitism Order Crossover,49,2.0,2.0
Elitism Cycle Crossover,49,2.0,2.0
Order Crossover,50,2.8,2.0
Cycle Crossover,50,4.0,4.0
Elitism Order Crossover,50,2.0,2.0
Elitism Cycle Crossover,50,2.0,2.0
Order Crossover,51,3.6,2.0
Cycle Crossover,51,4.0,4.0
Elitism Order Crossover,51,2.0,2.0
Elitism Cycle Crossover,51,2.0,2.0
Order Crossover,52,2.8,2.0
Cycle Crossover,52,4.0,4.0
Elitism Order Crossover,52,2.0,2.0
Elitism Cycle Crossover,52,2.0,2.0
Order Crossover,53,3.4,2.0
Cycle Crossover,53,4.0,4.0
Elitism Order Crossover,53,2.0,2.0
Elitism Cycle Crossover,53,2.0,2.0
Order Crossover,54,3.0,2.0
Cycle Crossover,54,4.0,4.0
Elitism Order Crossover,54,2.0,2.0
Elitism Cycle Crossover,54,2.0,2.0
Order Crossover,55,4.4,2.0
Cycle Crossover,55,4.0,4.0
Elitism Order Crossover,55,2.0,2.0
Elitism Cycle Crossover,55,2.0,2.0
Order Crossover,56,3.8,2.0
Cycle Crossover,56,4.0,4.0
Elitism Order Crossover,56,2.0,2.0
Elitism Cycle Crossover,56,2.0,2.0
Order Crossover,57,3.2,2.0
Cycle Crossover,57,4.0,4.0
Elitism Order Crossover,57,2.0,2.0
Elitism Cycle Crossover,57,2.0,2.0
Order Crossover,58,4.2,2.0
Cycle Crossover,58,4.0,4.0
Elitism Order Crossover,58,2.0,2.0
Elitism Cycle Crossover,58,2.0,2.0
Order Crossover,59,3.6,2.0
Cycle Crossover,59,4.0,4.0
Elitism Order Crossover,59,2.0,2.0
Elitism Cycle Crossover,59,2.0,2.0
Order Crossover,60,2.8,2.0
Cycle Crossover,60,4.0,4.0
Elitism Order Crossover,60,2.0,2.0
Elitism Cycle Crossover,60,2.0,2.0
Order Crossover,61,4.0,2.0
Cycle Crossover,61,4.0,4.0
Elitism Order Crossover,61,2.0,2.0
Elitism Cycle Crossover,61,2.0,2.0
Order Crossover,62,4.0,2.0
Cycle Crossover,62,4.0,4.0
Elitism Order Crossover,62,2.0,2.0
Elitism Cycle Crossover,62,2.0,2.0
Order Crossover,63,3.4,2.0
Cycle Crossover,63,4.0,4.0
Elitism Order Crossover,63,2.0,2.0
Elitism Cycle Crossover,63,2.0,2.0
Order Crossover,64,3.8,2.0
Cycle Crossover,64,4.0,4.0
Elitism Order Crossover,64,2.0,2.0
Elitism Cycle Crossover,64,2.0,2.0
Order Crossover,65,4.2,2.0
Cycle Crossover,65,4.0,4.0
Elitism Order Crossover,65,2.0,2.0
Elitism Cycle Crossover,65,2.0,2.0
Order Crossover,66,3.0,2.0
Cycle Crossover,66,4.0,4.0
Elitism Order Crossover,66,2.0,2.0
Elitism Cycle Crossover,66,2.0,2.0
Order Crossover,67,4.8,2.0
Cycle Crossover,67,4.0,4.0
Elitism Order Crossover,67,2.0,2.0
Elitism Cycle Crossover,67,2.0,2.0
Order Crossover,68,3.8,2.0
Cycle Crossover,68,4.0,4.0
Elitism Order Crossover,68,2.0,2.0
Elitism Cycle Crossover,68,2.0,2.0
Order Crossover,69,3.4,2.0
Cycle Crossover,69,4.0,4.0
Elitism Order Crossover,69,2.0,2.0
Elitism Cycle Crossover,69,2.0,2.0
Order Crossover,70,3.8,2.0
Cycle Crossover,70,4.0,4.0
Elitism Order Crossover,70,2.0,2.0
Elitism Cycle Crossover,70,2.0,2.0
Order Crossover,71,2.8,2.0
Cycle Crossover,71,4.0,4.0
Elitism Order Crossover,71,2.0,2.0
Elitism Cycle Crossover,71,2.0,2.0
Order Crossover,72,3.0,2.0
Cycle Crossover,72,4.0,4.0
Elitism Order Crossover,72,2.0,2.0
Elitism Cycle Crossover,72,2.0,2.0
Order Crossover,73,4.0,2.0
Cycle Crossover,73,4.0,4.0
Elitism Order Crossover,73,2.0,2.0
Elitism Cycle Crossover,73,2.0,2.0
Order Crossover,74,3.6,2.0
Cycle Crossover,74,4.0,4.0
Elitism Order Crossover,74,2.0,2.0
Elitism Cycle Crossover,74,2.0,2.0
Order Crossover,75,3.0,2.0
Cycle Crossover,75,4.0,4.0
Elitism Order Crossover,75,2.0,2.0
Elitism Cycle Crossover,75,2.0,2.0
Order Crossover,76,2.8,2.0
Cycle Crossover,76,4.0,4.0
Elitism Order Crossover,76,2.0,2.0
Elitism Cycle Crossover,76,2.0,2.0
Order Crossover,77,3.2,2.0
Cycle Crossover,77,4.0,4.0
Elitism Order Crossover,77,2.0,2.0
Elitism Cycle Crossover,77,2.0,2.0
Order Crossover,78,3.2,2.0
Cycle Crossover,78,4.0,4.0
Elitism Order Crossover,78,2.0,2.0
Elitism Cycle Crossover,78,2.0,2.0
Order Crossover,79,3.2,2.0
Cycle Crossover,79,4.0,4.0
Elitism Order Crossover,79,2.0,2.0
Elitism Cycle Crossover,79,2.0,2.0
Order Crossover,80,3.8,2.0
Cycle Crossover,80,4.0,4.0
Elitism Order Crossover,80,2.0,2.0
Elitism Cycle Crossover,80,2.0,2.0
Order Crossover,81,4.0,2.0
Cycle Crossover,81,4.0,4.0
Elitism Order Crossover,81,2.0,2.0
Elitism Cycle Crossover,81,2.0,2.0
Order Crossover,82,3.8,2.0
Cycle Crossover,82,4.0,4.0
Elitism Order Crossover,82,2.0,2.0
Elitism Cycle Crossover,82,2.0,2.0
Order Crossover,83,3.6,2.0
Cycle Crossover,83,4.0,4.0
Elitism Order Crossover,83,2.0,2.0
Elitism Cycle Crossover,83,2.0,2.0
Order Crossover,84,2.4,2.0
Cycle Crossover,84,4.0,4.0
Elitism Order Crossover,84,2.0,2.0
Elitism Cycle Crossover,84,2.0,2.0
Order Crossover,85,2.4,2.0
Cycle Crossover,85,4.0,4.0
Elitism Order Crossover,85,2.0,2.0
Elitism Cycle Crossover,85,2.0,2.0
Order Crossover,86,3.6,2.0
Cycle Crossover,86,4.0,4.0
Elitism Order Crossover,86,2.0,2.0
Elitism Cycle Crossover,86,2.0,2.0
Order Crossover,87,3.8,2.0
Cycle Crossover,87,4.0,4.0
Elitism Order Crossover,87,2.0,2.0
Elitism Cycle Crossover,87,2.0,2.0
Order Crossover,88,4.8,2.0
Cycle Crossover,88,4.0,4.0
Elitism Order Crossover,88,2.0,2.0
Elitism Cycle Crossover,88,2.0,2.0
Order Crossover,89,3.2,2.0
Cycle Crossover,89,4.0,4.0
Elitism Order Crossover,89,2.0,2.0
Elitism Cycle Crossover,89,2.0,2.0
Order Crossover,90,3.4,2.0
Cycle Crossover,90,4.0,4.0
Elitism Order Crossover,90,2.0,2.0
Elitism Cycle Crossover,90,2.0,2.0
Order Crossover,91,2.4,2.0
Cycle Crossover,91,4.0,4.0
Elitism Order Crossover,91,2.0,2.0
Elitism Cycle Crossover,91,2.0,2.0
Order Crossover,92,3.6,2.0
Cycle Crossover,92,4.0,4.0
Elitism Order Crossover,92,2.0,2.0
Elitism Cycle Crossover,92,2.0,2.0
Order Crossover,93,4.4,2.0
Cycle Crossover,93,4.0,4.0
Elitism Order Crossover,93,2.0,2.0
Elitism Cycle Crossover,93,2.0,2.0
Order Crossover,94,3.0,2.0
Cycle Crossover,94,4.0,4.0
Elitism Order Crossover,94,2.0,2.0
Elitism Cycle Crossover,94,2.0,2.0
Order Crossover,95,3.8,2.0
Cycle Crossover,95,4.0,4.0
Elitism Order Crossover,95,2.0,2.0
Elitism Cycle Crossover,95,2.0,2.0
Order Crossover,96,4.2,2.0
Cycle Crossover,96,4.0,4.0
Elitism Order Crossover,96,2.0,2.0
Elitism Cycle Crossover,96,2.0,2.0
Order Crossover,97,3.8,2.0
Cycle Crossover,97,4.0,4.0
Elitism Order Crossover,97,2.0,2.0
Elitism Cycle Crossover,97,2.0,2.0
Order Crossover,98,3.4,2.0
Cycle Crossover,98,4.0,4.0
Elitism Order Crossover,98,2.0,2.0
Elitism Cycle Crossover,98,2.0,2.0
Order Crossover,99,3.2,2.0
Cycle Crossover,99,4.0,4.0
Elitism Order Crossover,99,2.0,2.0
Elitism Cycle Crossover,99,2.0,2.0
Order Crossover,100,3.2,2.0
Cycle Crossover,100,4.0,4.0
Elitism Order Crossover,100,2.0,2.0
Elitism Cycle Crossover,100,2.0,2.0
